obra,obraId,codigoEvweb,descripcion,param1,param2
FEDERACION PATRONAL ART,228,5176,Biopsia quirurgica de femur o cadera,13771,91
FEDERACION PATRONAL ART,228,5177,Biopsia quirurgica de hueso (no de femur o cadera),13773,90
FEDERACION PATRONAL ART,228,5178,Biopsia radioquirurgica de mama,13774,91
FEDERACION PATRONAL ART,228,5179,Biopsia renal percutanea (quirofano),13775,89
FEDERACION PATRONAL ART,228,5180,Biopsia renal percutanea guiado por ecografia u otro metodo (fuera de quirofano),13776,90
FEDERACION PATRONAL ART,228,5181,Biopsia traqueal o bronquial,13777,90
FEDERACION PATRONAL ART,228,5405,Colonovideoscopia con o sin biopsia,13913,91
FEDERACION PATRONAL ART,228,5552,Drenaje pleural por toracotomia minima y/o biopsia pleural,14024,90
FEDERACION PATRONAL ART,228,5676,Exploracion renal con o sin biopsia,14119,91
FEDERACION PATRONAL ART,228,5718,Extraccion de cuerpo extraño de orbita / exploracion / biopsia / drenaje,14143,91
FEDERACION PATRONAL ART,228,5898,Incision y drenaje del CAE y/o biopsia,14286,90
FEDERACION PATRONAL ART,228,5899,Incision y drenaje/ biopsia o sutura de labio,14287,89
FEDERACION PATRONAL ART,228,6249,Puncion / biopsia de prostata bajo control ecografico,14535,90
FEDERACION PATRONAL ART,228,6252,Puncion biopsia de hueso,14538,89
FEDERACION PATRONAL ART,228,6253,Puncion biopsia de tiroides,14539,89
FEDERACION PATRONAL ART,228,6254,Puncion biopsia de tiroides a cielo abierto,14540,90
FEDERACION PATRONAL ART,228,6258,Puncion biopsia percutanea de bazo o pancreas,14541,89
FEDERACION PATRONAL ART,228,6259,Puncion biopsia percutanea de higado,14542,89
FEDERACION PATRONAL ART,228,6266,Puncion del seno con o sin insercion de sonda y/o biopsia de seno paranasal,14546,89
FEDERACION PATRONAL ART,228,6505,Sutura y/o biopsia de nariz,14709,90
FEDERACION PATRONAL ART,228,6557,Toracotomia exploradora amplia y/o biopsia pulmonar,14733,94
FEDERACION PATRONAL ART,228,5152,Biopsia de ganglios linfaticos de cuello,14875,90
FEDERACION PATRONAL ART,228,5163,Biopsia de piel en cabeza y/o cuello,14876,90
FEDERACION PATRONAL ART,228,5164,"Biopsia de piel, excepto en cabeza y cuello",14877,89
FEDERACION PATRONAL ART,228,5172,Biopsia o exeresis de ganglios linfaticos,14878,90
FEDERACION PATRONAL ART,228,5174,Biopsia osea a cielo abierto,14879,90
FEDERACION PATRONAL ART,228,6257,Puncion biopsia guiada por ecografia,15113,91
FEDERACION PATRONAL ART,228,6255,Puncion biopsia guiada por TAC (fuera de quirofano),15114,90
FEDERACION PATRONAL ART,228,7594,Biopsia Pulmonar o Mediastinal por video-toracoscopia,15371,92
FEDERACION PATRONAL ART,228,6127,Operacion del hueco supraclavicular (tipo biopsia de Daniels),15480,91
FEDERACION PATRONAL ART,228,5184,Blefaroplastia bilateral,14880,93
FEDERACION PATRONAL ART,228,5185,"Blefaroplastia simple, no estetica",14881,92
FEDERACION PATRONAL ART,228,8103,Blefaroplastia unilateral,15254,92
FEDERACION PATRONAL ART,228,5183,Blefaroplastia,15524,92
FEDERACION PATRONAL ART,228,7778,"Bloqueo regional periferico dosis unica, un solo nervio, eco guiado",69275,91
FEDERACION PATRONAL ART,228,7779,"Bloqueo regional periferico dosis unica, mas de un nervio, eco guiado",69276,92
FEDERACION PATRONAL ART,228,7780,"Bloqueo regional periferico continuo con cateter, sin bomba control dias sub siguientes a la colocacion (hasta 72 horas) por dia",69277,89
FEDERACION PATRONAL ART,228,7781,"Bloqueo regional periferico continuo con cateter, con bomba control dias subsiguientes a la colocacion (hasta 72 horas) por dia",69278,90
FEDERACION PATRONAL ART,228,7782,"Bloqueo del musculo erector espinal, ecoguiado, dosis unica",69279,91
FEDERACION PATRONAL ART,228,7783,"Bloqueo del musculo erector espinal, ecoguiado continuo. Colocacion de cateter",69280,92
FEDERACION PATRONAL ART,228,7784,"Bloqueo del musculo erector espinal, continuo, sin bomba, control dias subsiguientes hasta 48 por dia",69281,89
